,nd_filter,filter,dit,fill_frac,mindit_triggered,attempted_dit,mindit
0,open,open,0.04,100.0001015625 %,True,0.0,0.04
1,open,Lp,0.04,100.00009375 %,True,0.0,0.04
2,open,short-L,0.04,100.000109375 %,True,0.0,0.04
3,open,Mp,0.04,100.0001015625 %,True,0.0,0.04
4,open,Br_alpha,0.04,100.00009375 %,True,0.002,0.04
5,open,Br_alpha_ref,0.04,100.000109375 %,True,0.001,0.04
6,open,PAH_3.3,0.04,100.00009375 %,True,0.001,0.04
7,open,PAH_3.3_ref,0.04,100.00009375 %,True,0.001,0.04
8,open,CO_1-0_ice,0.04,100.00009375 %,True,0.0,0.04
9,open,CO_ref,0.04,100.0001015625 %,True,0.0,0.04
10,open,H2O-ice,0.04,100.00009375 %,True,0.0,0.04
11,open,IB_4.05,0.04,100.000109375 %,True,0.001,0.04
12,open,HCI_L_short,0.04,100.0001015625 %,True,0.0,0.04
13,open,HCI_L_long,0.04,100.0001171875 %,True,0.0,0.04
14,open,HCI_M,0.04,100.00009375 %,True,0.0,0.04
15,ND_OD1,open,0.04,100.00009375 %,True,0.0,0.04
16,ND_OD1,Lp,0.04,100.00009375 %,True,0.001,0.04
17,ND_OD1,short-L,0.04,100.000125 %,True,0.002,0.04
18,ND_OD1,Mp,0.04,100.00009375 %,True,0.002,0.04
19,ND_OD1,Br_alpha,0.04,100.0001015625 %,True,0.02,0.04
20,ND_OD1,Br_alpha_ref,0.04,100.0001015625 %,True,0.014,0.04
21,ND_OD1,PAH_3.3,0.04,100.0001015625 %,True,0.009,0.04
22,ND_OD1,PAH_3.3_ref,0.04,100.0001015625 %,True,0.009,0.04
23,ND_OD1,CO_1-0_ice,0.04,100.0001015625 %,True,0.004,0.04
24,ND_OD1,CO_ref,0.04,100.0001015625 %,True,0.004,0.04
25,ND_OD1,H2O-ice,0.04,100.0001015625 %,True,0.003,0.04
26,ND_OD1,IB_4.05,0.04,100.0001015625 %,True,0.006,0.04
27,ND_OD1,HCI_L_short,0.04,100.0001015625 %,True,0.003,0.04
28,ND_OD1,HCI_L_long,0.04,100.000109375 %,True,0.003,0.04
29,ND_OD1,HCI_M,0.04,100.0001015625 %,True,0.004,0.04
30,ND_OD2,open,0.04,100.0001015625 %,True,0.004,0.04
31,ND_OD2,Lp,0.04,100.0001015625 %,True,0.013,0.04
32,ND_OD2,short-L,0.04,100.0001015625 %,True,0.018,0.04
33,ND_OD2,Mp,0.04,100.0001171875 %,True,0.019,0.04
34,ND_OD2,Br_alpha,0.2034428221913803,75.000828125 %,False,,
35,ND_OD2,Br_alpha_ref,0.13835931859695902,75.00067968750001 %,False,,
36,ND_OD2,PAH_3.3,0.09332984653026696,75.000546875 %,False,,
37,ND_OD2,PAH_3.3_ref,0.0870481114912212,75.0005546875 %,False,,
38,ND_OD2,CO_1-0_ice,0.04,77.6454140625 %,True,0.039,0.04
39,ND_OD2,CO_ref,0.04223536943573293,75.00037499999999 %,False,,
40,ND_OD2,H2O-ice,0.04,90.16303125 %,True,0.033,0.04
41,ND_OD2,IB_4.05,0.05883335804334371,75.00044531249999 %,False,,
42,ND_OD2,HCI_L_short,0.04,96.1806328125 %,True,0.031,0.04
43,ND_OD2,HCI_L_long,0.04,100.0001015625 %,True,0.026,0.04
44,ND_OD2,HCI_M,0.04,78.89630468749999 %,True,0.038,0.04
45,ND_OD3,open,0.04,83.5090546875 %,True,0.036,0.04
46,ND_OD3,Lp,0.12636671925207077,75.0006875 %,False,,
47,ND_OD3,short-L,0.1777270979084364,75.00078906249999 %,False,,
48,ND_OD3,Mp,0.18647184088730762,75.0008046875 %,False,,
49,ND_OD3,Br_alpha,2.0344224274728404,75.00250000000001 %,False,,
50,ND_OD3,Br_alpha_ref,1.3835928031036753,75.0023515625 %,False,,
51,ND_OD3,PAH_3.3,0.9332972458398275,75.0017109375 %,False,,
52,ND_OD3,PAH_3.3_ref,0.870481114912212,75.00170312499999 %,False,,
53,ND_OD3,CO_1-0_ice,0.38637368207937045,75.0012734375 %,False,,
54,ND_OD3,CO_ref,0.4223536586808037,75.0012421875 %,False,,
55,ND_OD3,H2O-ice,0.33273197574250807,75.00114062499999 %,False,,
56,ND_OD3,IB_4.05,0.5883335804334371,75.00142968749999 %,False,,
57,ND_OD3,HCI_L_short,0.3119143807501416,75.001015625 %,False,,
58,ND_OD3,HCI_L_long,0.2586054854361149,75.0009765625 %,False,,
59,ND_OD3,HCI_M,0.38024751070967117,75.00107812499999 %,False,,
60,ND_OD4,open,0.359243404650334,75.001046875 %,False,,
61,ND_OD4,Lp,1.2636665537791212,75.0020859375 %,False,,
62,ND_OD4,short-L,1.7772659251913228,75.00233593749999 %,False,,
63,ND_OD4,Mp,1.8647184088730762,75.002578125 %,False,,
64,ND_OD4,Br_alpha,20.344224274728404,75.00973437500001 %,False,,
65,ND_OD4,Br_alpha_ref,13.835851458298743,75.00734375 %,False,,
66,ND_OD4,PAH_3.3,9.332885354836302,75.0054140625 %,False,,
67,ND_OD4,PAH_3.3_ref,8.704735376044567,75.0055 %,False,,
68,ND_OD4,CO_1-0_ice,3.8637189067220983,75.00315625 %,False,,
69,ND_OD4,CO_ref,4.223508045782827,75.0037734375 %,False,,
70,ND_OD4,H2O-ice,3.3272998296422487,75.00310156249999 %,False,,
71,ND_OD4,IB_4.05,5.883321958910879,75.0048671875 %,False,,
72,ND_OD4,HCI_L_short,3.1191321326754045,75.003 %,False,,
73,ND_OD4,HCI_L_long,2.586050841759549,75.0029765625 %,False,,
74,ND_OD4,HCI_M,3.802454864860754,75.003265625 %,False,,
75,ND_OD5,open,3.5923669387285897,75.0038125 %,False,,
76,ND_OD5,Lp,12.636473918317833,75.0061640625 %,False,,
77,ND_OD5,short-L,17.772090708750977,75.0058515625 %,False,,
78,ND_OD5,Mp,18.646975460580293,75.008328125 %,False,,
79,ND_OD5,Br_alpha,203.41741253051262,75.0274140625 %,False,,
80,ND_OD5,Br_alpha_ref,138.35085777531822,75.02321875 %,False,,
81,ND_OD5,PAH_3.3,93.3184023889511,75.01575 %,False,,
82,ND_OD5,PAH_3.3_ref,87.04735376044569,75.022421875 %,False,,
83,ND_OD5,CO_1-0_ice,38.636890503052314,75.01273437500001 %,False,,
84,ND_OD5,CO_ref,42.233296731142836,75.0110703125 %,False,,
85,ND_OD5,H2O-ice,33.27122704285334,75.008 %,False,,
86,ND_OD5,IB_4.05,58.830450641251915,75.0128359375 %,False,,
87,ND_OD5,HCI_L_short,31.189570207722536,75.00725 %,False,,
88,ND_OD5,HCI_L_long,25.859839668994052,75.0096328125 %,False,,
89,ND_OD5,HCI_M,38.02281368821293,75.009046875 %,False,,
