,nd_filter,detmode,filter,dit,fill_frac,mindit_triggered,attempted_dit,mindit
0,open,high_capacity,open,0.011,100.00009381975445 %,True,0.0,0.011
1,open,high_capacity,N1,0.011,100.00009381975445 %,True,0.002,0.011
2,open,high_capacity,N2,0.011,100.00009381975445 %,True,0.001,0.011
3,open,high_capacity,N3,0.011,100.00010083007813 %,True,0.003,0.011
4,open,high_capacity,PAH_8.6,0.011,100.00010083007813 %,True,0.005,0.011
5,open,high_capacity,PAH_8.6_ref,0.011,100.00009381975445 %,True,0.007,0.011
6,open,high_capacity,PAH_11.25,0.011,90.80224773297991 %,True,0.009,0.011
7,open,high_capacity,PAH_11.25_ref,0.011,84.60863378906251 %,True,0.01,0.011
8,open,high_capacity,Ne_II,0.016825103053756205,75.00043840680803 %,False,,
9,open,high_capacity,Ne_II_ref,0.018250395425234215,75.00050851004464 %,False,,
10,open,high_capacity,S_IV,0.01483251617156277,75.00024211774553 %,False,,
11,open,high_capacity,S_IV_ref,0.01389784313195616,75.00051552036831 %,False,,
12,ND_OD1,high_capacity,open,0.011,100.00009381975445 %,True,0.003,0.011
13,ND_OD1,high_capacity,N1,0.02150473402825483,75.00018603515625 %,False,,
14,ND_OD1,high_capacity,N2,0.013326324673690134,75.00050149972098 %,False,,
15,ND_OD1,high_capacity,N3,0.029754525167369206,75.00036830357143 %,False,,
16,ND_OD1,high_capacity,PAH_8.6,0.05456943202316169,75.00041036551339 %,False,,
17,ND_OD1,high_capacity,PAH_8.6_ref,0.07066444204534301,75.00096418108258 %,False,,
18,ND_OD1,high_capacity,PAH_11.25,0.09050456293838148,75.00111139787946 %,False,,
19,ND_OD1,high_capacity,PAH_11.25_ref,0.09710047201618341,74.99980046735492 %,False,,
20,ND_OD1,high_capacity,Ne_II,0.1670456127325878,75.00144088309152 %,False,,
21,ND_OD1,high_capacity,Ne_II_ref,0.18108651911468812,75.00147593470982 %,False,,
22,ND_OD1,high_capacity,S_IV,0.14738393515106854,74.99929572405134 %,False,,
23,ND_OD1,high_capacity,S_IV_ref,0.1381533502187428,75.00037531389509 %,False,,
24,ND_OD2,high_capacity,open,0.030440885491535744,75.00052954101562 %,False,,
25,ND_OD2,high_capacity,N1,0.21308079313406333,75.00068376813616 %,False,,
26,ND_OD2,high_capacity,N2,0.13250395671537413,75.00027716936384 %,False,,
27,ND_OD2,high_capacity,N3,0.2937816223274033,74.99750809151786 %,False,,
28,ND_OD2,high_capacity,PAH_8.6,0.533175355450237,74.99578355189732 %,False,,
29,ND_OD2,high_capacity,PAH_8.6_ref,0.6858449228424461,75.00090108816964 %,False,,
30,ND_OD2,high_capacity,PAH_11.25,0.8712487899322362,75.0039085170201 %,False,,
31,ND_OD2,high_capacity,PAH_11.25_ref,0.9321595028482651,74.99876293945313 %,False,,
32,ND_OD2,high_capacity,Ne_II,1.5584415584415585,74.98546435546875 %,False,,
33,ND_OD2,high_capacity,Ne_II_ref,1.6798880074661688,74.98073238699777 %,False,,
34,ND_OD2,high_capacity,S_IV,1.386214863303812,74.99947799246652 %,False,,
35,ND_OD2,high_capacity,S_IV_ref,1.3038754074610648,74.97879052734375 %,False,,
36,ND_OD3,high_capacity,open,0.3004757532760204,74.99928871372768 %,False,,
37,ND_OD3,high_capacity,N1,1.9522776572668112,74.99620417131696 %,False,,
38,ND_OD3,high_capacity,N2,1.2534818941504178,74.9821344517299 %,False,,
39,ND_OD3,high_capacity,N3,2.608695652173913,74.98592002650669 %,False,,
40,ND_OD3,high_capacity,PAH_8.6,4.337349397590361,74.95758429827009 %,False,,
41,ND_OD3,high_capacity,PAH_8.6_ref,5.294117647058823,74.91729596819197 %,False,,
42,ND_OD3,high_capacity,PAH_11.25,6.338028169014085,74.94399128069198 %,False,,
43,ND_OD3,high_capacity,PAH_11.25_ref,6.654343807763401,74.93644116210938 %,False,,
44,ND_OD3,high_capacity,Ne_II,9.32642487046632,74.8616690499442 %,False,,
45,ND_OD3,high_capacity,Ne_II_ref,9.75609756097561,74.91455493164062 %,False,,
46,ND_OD3,high_capacity,S_IV,8.695652173913043,75.00777120535714 %,False,,
47,ND_OD3,high_capacity,S_IV_ref,8.352668213457077,74.88930374581473 %,False,,
48,ND_OD4,high_capacity,open,2.6607538802660753,74.97046226283483 %,False,,
49,ND_OD4,high_capacity,N1,10.619469026548673,74.9387755998884 %,False,,
50,ND_OD4,high_capacity,N2,8.144796380090497,74.91135121372768 %,False,,
51,ND_OD4,high_capacity,N3,12.286689419795222,74.82238319614956 %,False,,
52,ND_OD4,high_capacity,PAH_8.6,15.126050420168067,74.77474804687499 %,False,,
53,ND_OD4,high_capacity,PAH_8.6_ref,16.143497757847534,74.7507657296317 %,False,,
54,ND_OD4,high_capacity,PAH_11.25,16.9811320754717,74.67820186941965 %,False,,
55,ND_OD4,high_capacity,PAH_11.25_ref,17.22488038277512,74.77777650669643 %,False,,
56,ND_OD4,high_capacity,Ne_II,18.65284974093264,74.94390014648438 %,False,,
57,ND_OD4,high_capacity,Ne_II_ref,18.75,74.68207857840402 %,False,,
58,ND_OD4,high_capacity,S_IV,18.367346938775512,74.89823489815848 %,False,,
59,ND_OD4,high_capacity,S_IV_ref,18.181818181818183,74.76008946010045 %,False,,
60,open,low_capacity,open,0.011,100.00016493055554 %,True,0.0,0.011
61,open,low_capacity,N1,0.011,100.00016493055554 %,True,0.0,0.011
62,open,low_capacity,N2,0.011,100.00017252604168 %,True,0.0,0.011
63,open,low_capacity,N3,0.011,100.00016493055554 %,True,0.0,0.011
64,open,low_capacity,PAH_8.6,0.011,100.0001953125 %,True,0.0,0.011
65,open,low_capacity,PAH_8.6_ref,0.011,100.00018771701389 %,True,0.0,0.011
66,open,low_capacity,PAH_11.25,0.011,100.00018012152778 %,True,0.001,0.011
67,open,low_capacity,PAH_11.25_ref,0.011,100.00017252604168 %,True,0.001,0.011
68,open,low_capacity,Ne_II,0.011,100.00018771701389 %,True,0.001,0.011
69,open,low_capacity,Ne_II_ref,0.011,100.00018771701389 %,True,0.001,0.011
70,open,low_capacity,S_IV,0.011,100.00017252604168 %,True,0.001,0.011
71,open,low_capacity,S_IV_ref,0.011,100.00017252604168 %,True,0.001,0.011
72,ND_OD1,low_capacity,open,0.011,100.00017252604168 %,True,0.0,0.011
73,ND_OD1,low_capacity,N1,0.011,100.00018012152778 %,True,0.001,0.011
74,ND_OD1,low_capacity,N2,0.011,100.00016493055554 %,True,0.001,0.011
