,nd_filter,detmode,slit,dit,fill_frac,mindit_triggered,attempted_dit,mindit
0,open,high_capacity,A-19_0,0.30464584920030463,74.99539097377233 %,False,,
1,open,high_capacity,B-28_6,0.22932857688877564,74.99809695870536 %,False,,
2,open,high_capacity,C-38_1,0.1534526854219949,74.99827221679688 %,False,,
3,open,high_capacity,D-57_1,0.11530700490054771,74.9987138671875 %,False,,
4,open,high_capacity,E-114_2,0.054441520733145815,74.99952005440849 %,False,,
5,ND_OD1,high_capacity,A-19_0,2.694610778443114,74.99876293945313 %,False,,
6,ND_OD1,high_capacity,B-28_6,2.0869565217391304,74.96119461495536 %,False,,
7,ND_OD1,high_capacity,C-38_1,1.4394242303078768,74.97927423967634 %,False,,
8,ND_OD1,high_capacity,D-57_1,1.098565761367104,74.98648786272322 %,False,,
9,ND_OD1,high_capacity,E-114_2,0.5319934978572484,74.99904335239955 %,False,,
10,ND_OD2,high_capacity,A-19_0,12.5,74.977297328404 %,False,,
11,ND_OD2,high_capacity,B-28_6,11.009174311926605,74.93941353934152 %,False,,
12,ND_OD2,high_capacity,C-38_1,8.88888888888889,74.88048475864956 %,False,,
13,ND_OD2,high_capacity,D-57_1,7.468879668049793,74.9952507672991 %,False,,
14,ND_OD2,high_capacity,E-114_2,4.332129963898917,75.00280789620535 %,False,,
15,ND_OD3,high_capacity,A-19_0,19.565217391304348,74.63548095703125 %,False,,
16,ND_OD3,high_capacity,B-28_6,19.25133689839572,74.99546808733258 %,False,,
17,ND_OD3,high_capacity,C-38_1,18.46153846153846,74.90679450334822 %,False,,
18,ND_OD3,high_capacity,D-57_1,17.733990147783253,74.82033618164063 %,False,,
19,ND_OD3,high_capacity,E-114_2,15.126050420168067,74.81725864955358 %,False,,
20,ND_OD4,high_capacity,A-19_0,20.809248554913296,74.83873127092635 %,False,,
21,ND_OD4,high_capacity,B-28_6,20.809248554913296,75.00722440011161 %,False,,
22,ND_OD4,high_capacity,C-38_1,20.689655172413794,74.91374173409598 %,False,,
23,ND_OD4,high_capacity,D-57_1,20.571428571428573,74.81531678989955 %,False,,
24,ND_OD4,high_capacity,E-114_2,20.11173184357542,74.60533656529019 %,False,,
25,open,low_capacity,A-19_0,0.019585867708344668,75.00149848090277 %,False,,
26,open,low_capacity,B-28_6,0.01474310145710986,75.00091362847222 %,False,,
27,open,low_capacity,C-38_1,0.011,83.62902126736111 %,True,0.01,0.011
28,open,low_capacity,D-57_1,0.011,100.00015733506945 %,True,0.007,0.011
29,open,low_capacity,E-114_2,0.011,100.00017252604168 %,True,0.003,0.011
30,ND_OD1,low_capacity,A-19_0,0.17323516673884798,75.00310112847222 %,False,,
31,ND_OD1,low_capacity,B-28_6,0.13423319288564078,75.00045030381945 %,False,,
32,ND_OD1,low_capacity,C-38_1,0.09256164348340318,75.00119466145834 %,False,,
33,ND_OD1,low_capacity,D-57_1,0.07063671146865495,75.00209092881944 %,False,,
34,ND_OD1,low_capacity,E-114_2,0.034200376204138246,75.00152126736111 %,False,,
35,ND_OD2,low_capacity,A-19_0,0.8037508372404555,74.9943967013889 %,False,,
36,ND_OD2,low_capacity,B-28_6,0.7083825265643447,75.00533420138889 %,False,,
37,ND_OD2,low_capacity,C-38_1,0.5723370429252782,74.997685546875 %,False,,
38,ND_OD2,low_capacity,D-57_1,0.4801920768307323,75.00155164930555 %,False,,
39,ND_OD2,low_capacity,E-114_2,0.2784868879090276,75.00090603298611 %,False,,
40,ND_OD3,low_capacity,A-19_0,1.2640449438202248,75.00885850694445 %,False,,
41,ND_OD3,low_capacity,B-28_6,1.2375386730835338,74.99110785590278 %,False,,
42,ND_OD3,low_capacity,C-38_1,1.188511059755695,75.011630859375 %,False,,
43,ND_OD3,low_capacity,D-57_1,1.1428571428571428,75.00497721354166 %,False,,
44,ND_OD3,low_capacity,E-114_2,0.974817221770918,75.00405815972222 %,False,,
45,ND_OD4,low_capacity,A-19_0,1.3407821229050279,75.01163845486111 %,False,,
46,ND_OD4,low_capacity,B-28_6,1.3377926421404682,75.00948133680555 %,False,,
47,ND_OD4,low_capacity,C-38_1,1.3318534961154274,75.01157769097222 %,False,,
48,ND_OD4,low_capacity,D-57_1,1.3259668508287292,75.014228515625 %,False,,
49,ND_OD4,low_capacity,E-114_2,1.2996389891696751,74.99634114583333 %,False,,
