,nd_filter,slit,dit,fill_frac,band,mindit_triggered,attempted_dit,mindit
0,open,A-19_0,1.3,100.00012695312499 %,L,True,0.042,1.3
1,open,B-28_6,1.3,100.00012695312499 %,L,True,0.025,1.3
2,open,C-38_1,1.3,100.00012695312499 %,L,True,0.018,1.3
3,open,D-57_1,1.3,100.0001171875 %,L,True,0.013,1.3
4,open,E-114_2,1.3,100.0001171875 %,L,True,0.006,1.3
5,ND_OD1,A-19_0,1.3,100.0001171875 %,L,True,0.424,1.3
6,ND_OD1,B-28_6,1.3,100.0001171875 %,L,True,0.254,1.3
7,ND_OD1,C-38_1,1.3,100.00012695312499 %,L,True,0.182,1.3
8,ND_OD1,D-57_1,1.3,100.0001171875 %,L,True,0.127,1.3
9,ND_OD1,E-114_2,1.3,100.0001171875 %,L,True,0.061,1.3
10,ND_OD2,A-19_0,4.239767321569392,75.00140625 %,L,False,,
11,ND_OD2,B-28_6,2.544063174176741,74.999423828125 %,L,False,,
12,ND_OD2,C-38_1,1.8173095096172018,74.997265625 %,L,False,,
13,ND_OD2,D-57_1,1.3,76.6248291015625 %,L,True,1.272,1.3
14,ND_OD2,E-114_2,1.3,100.00013671875001 %,L,True,0.607,1.3
15,ND_OD3,A-19_0,42.39443784975411,75.0010107421875 %,L,False,,
16,ND_OD3,B-28_6,25.440113971710595,75.002509765625 %,L,False,,
17,ND_OD3,C-38_1,18.172566693319766,74.998193359375 %,L,False,,
18,ND_OD3,D-57_1,12.723941368078176,74.999990234375 %,L,False,,
19,ND_OD3,E-114_2,6.066635929044626,74.999970703125 %,L,False,,
20,ND_OD4,A-19_0,423.728813559322,74.9996630859375 %,L,False,,
21,ND_OD4,B-28_6,254.323499491353,74.999599609375 %,L,False,,
22,ND_OD4,C-38_1,181.6860465116279,74.99723632812501 %,L,False,,
23,ND_OD4,D-57_1,127.2264631043257,75.0058251953125 %,L,False,,
24,ND_OD4,E-114_2,60.66488716330988,75.0062255859375 %,L,False,,
25,ND_OD5,A-19_0,4237.28813559322,75.24611816406251 %,L,False,,
26,ND_OD5,B-28_6,2538.0710659898477,75.003984375 %,L,False,,
27,ND_OD5,C-38_1,1811.5942028985507,74.891240234375 %,L,False,,
28,ND_OD5,D-57_1,1272.264631043257,75.0864111328125 %,L,False,,
29,ND_OD5,E-114_2,606.060606060606,74.9735205078125 %,L,False,,
