,nd_filter,slit,dit,fill_frac,band,mindit_triggered,attempted_dit,mindit
0,open,A-19_0,1.3,100.0001171875 %,M,True,0.053,1.3
1,open,B-28_6,1.3,100.00012695312499 %,M,True,0.032,1.3
2,open,C-38_1,1.3,100.0001171875 %,M,True,0.038,1.3
3,open,D-57_1,1.3,100.0001171875 %,M,True,0.016,1.3
4,open,E-114_2,1.3,100.0001171875 %,M,True,0.013,1.3
5,ND_OD1,A-19_0,1.3,100.000107421875 %,M,True,0.534,1.3
6,ND_OD1,B-28_6,1.3,100.0001171875 %,M,True,0.32,1.3
7,ND_OD1,C-38_1,1.3,100.0001171875 %,M,True,0.38,1.3
8,ND_OD1,D-57_1,1.3,100.0001171875 %,M,True,0.16,1.3
9,ND_OD1,E-114_2,1.3,100.0001171875 %,M,True,0.127,1.3
10,ND_OD2,A-19_0,5.341024408481546,73.201279296875 %,M,False,,
11,ND_OD2,B-28_6,3.204614645088928,73.2009423828125 %,M,False,,
12,ND_OD2,C-38_1,3.799247748945709,75.002099609375 %,M,False,,
13,ND_OD2,D-57_1,1.6022919183600222,73.2007568359375 %,M,False,,
14,ND_OD2,E-114_2,1.3,76.93256347656249 %,M,True,1.267,1.3
15,ND_OD3,A-19_0,53.40739158299509,73.20198730468749 %,M,False,,
16,ND_OD3,B-28_6,32.04511952829584,73.2029150390625 %,M,False,,
17,ND_OD3,C-38_1,37.991034115948636,75.0053955078125 %,M,False,,
18,ND_OD3,D-57_1,16.02255976414792,73.2015234375 %,M,False,,
19,ND_OD3,E-114_2,12.673307479786075,75.002080078125 %,M,False,,
20,ND_OD4,A-19_0,533.6179295624333,73.17705078125 %,M,False,,
21,ND_OD4,B-28_6,320.30749519538756,73.1946533203125 %,M,False,,
22,ND_OD4,C-38_1,379.65072133637057,74.9886279296875 %,M,False,,
23,ND_OD4,D-57_1,160.20506247997437,73.2064892578125 %,M,False,,
24,ND_OD4,E-114_2,126.71059300557526,75.0032568359375 %,M,False,,
25,ND_OD5,A-19_0,5319.148936170212,73.219833984375 %,M,False,,
26,ND_OD5,B-28_6,3184.7133757961783,72.938486328125 %,M,False,,
27,ND_OD5,C-38_1,3787.878787878788,75.032119140625 %,M,False,,
28,ND_OD5,D-57_1,1597.444089456869,73.085927734375 %,M,False,,
29,ND_OD5,E-114_2,1265.8227848101267,75.0118212890625 %,M,False,,
