,nd_filter,detmode,slit,dit,fill_frac,mindit_triggered,attempted_dit,mindit
0,open,low_capacity,A-19_0,0.02015680462077814,76.11991102430555 %,False,,
1,open,low_capacity,B-28_6,0.015117961065989205,75.83996419270834 %,False,,
2,open,low_capacity,C-38_1,0.011,82.46306098090278 %,True,0.01,0.011
3,open,low_capacity,D-57_1,0.011,100.00001302083332 %,True,0.008,0.011
4,open,low_capacity,E-114_2,0.011,100.00001302083332 %,True,0.004,0.011
5,ND_OD1,low_capacity,A-19_0,0.2015680380818463,86.19860460069444 %,False,,
6,ND_OD1,low_capacity,B-28_6,0.1511796243730581,83.39917426215277 %,False,,
7,ND_OD1,low_capacity,C-38_1,0.10079180022420128,80.59983506944445 %,False,,
8,ND_OD1,low_capacity,D-57_1,0.07559814385389359,79.20008572048611 %,False,,
9,ND_OD1,low_capacity,E-114_2,0.035589103584506045,76.97727430555555 %,False,,
10,ND_OD2,low_capacity,A-19_0,2.015673880091592,100.0001953125 %,False,,
11,ND_OD2,low_capacity,B-28_6,1.5117935011020975,100.00017252604168 %,False,,
12,ND_OD2,low_capacity,C-38_1,1.0079161736276718,100.00013454861111 %,False,,
13,ND_OD2,low_capacity,D-57_1,0.7559813242373661,100.00011935763888 %,False,,
14,ND_OD2,low_capacity,E-114_2,0.35589088385501005,94.77215386284722 %,False,,
15,ND_OD3,low_capacity,A-19_0,20.15641377086189,100.00068142361111 %,False,,
16,ND_OD3,low_capacity,B-28_6,15.117615045050492,100.0005447048611 %,False,,
17,ND_OD3,low_capacity,C-38_1,10.079019512981777,100.00042317708333 %,False,,
18,ND_OD3,low_capacity,D-57_1,7.559721802237678,100.00037000868056 %,False,,
19,ND_OD3,low_capacity,E-114_2,3.5588961727630557,100.0002560763889 %,False,,
20,ND_OD4,low_capacity,A-19_0,201.53164046755342,100.0020486111111 %,False,,
21,ND_OD4,low_capacity,B-28_6,151.14873035066506,100.00187391493056 %,False,,
22,ND_OD4,low_capacity,C-38_1,100.78613182826044,100.00141059027779 %,False,,
23,ND_OD4,low_capacity,D-57_1,75.59721802237678,100.00125868055557 %,False,,
24,ND_OD4,low_capacity,E-114_2,35.587188612099645,100.00084852430555 %,False,,
25,open,high_capacity,A-19_0,0.313550197191719,76.11988895089286 %,False,,
26,open,high_capacity,B-28_6,0.23516817817093716,75.83992466517857 %,False,,
27,open,high_capacity,C-38_1,0.1567872412814535,75.56000945172991 %,False,,
28,open,high_capacity,D-57_1,0.11759708697903902,75.42002730887278 %,False,,
29,open,high_capacity,E-114_2,0.05536082079281567,75.19775798688616 %,False,,
30,ND_OD1,high_capacity,A-19_0,3.135484275546358,86.19815457589286 %,False,,
31,ND_OD1,high_capacity,B-28_6,2.3516795695485717,83.39905151367188 %,False,,
32,ND_OD1,high_capacity,C-38_1,1.567869954594486,80.59962597656249 %,False,,
33,ND_OD1,high_capacity,D-57_1,1.1759697634654418,79.19997980608258 %,False,,
34,ND_OD1,high_capacity,E-114_2,0.5536080853353647,76.97727957589285 %,False,,
35,ND_OD2,high_capacity,A-19_0,31.35385966012416,100.00043732561383 %,False,,
36,ND_OD2,high_capacity,B-28_6,23.516132066597685,100.00037423270089 %,False,,
37,ND_OD2,high_capacity,C-38_1,15.678404565551409,100.00027608816964 %,False,,
38,ND_OD2,high_capacity,D-57_1,11.759448717044146,100.000248046875 %,False,,
39,ND_OD2,high_capacity,E-114_2,5.536056334909264,94.77179443359375 %,False,,
40,ND_OD3,high_capacity,A-19_0,313.47962382445144,100.0013556780134 %,False,,
41,ND_OD3,high_capacity,B-28_6,235.07287259050307,100.00119444056918 %,False,,
42,ND_OD3,high_capacity,C-38_1,156.73981191222572,100.0009280482701 %,False,,
43,ND_OD3,high_capacity,D-57_1,117.59172154280338,100.00085093470983 %,False,,
44,ND_OD3,high_capacity,E-114_2,55.35872453498671,100.0005494907924 %,False,,
45,ND_OD4,high_capacity,A-19_0,3125.0,100.00457341657365 %,False,,
46,ND_OD4,high_capacity,B-28_6,2347.417840375587,100.00373918805803 %,False,,
47,ND_OD4,high_capacity,C-38_1,1567.398119122257,100.00318537248884 %,False,,
48,ND_OD4,high_capacity,D-57_1,1173.7089201877934,100.00269464983258 %,False,,
49,ND_OD4,high_capacity,E-114_2,553.0973451327434,100.0018534109933 %,False,,
